                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.0478,                 1.0413,                 1.1361,                0.36858,                0.33333,                0.28495,                0.07012,                  2.693,                 2.9343,                 3.1701,             0.00029598,             0.00029598,             0.00029598
                     85,                 1.0782,                 1.0847,                  1.223,                0.36858,                0.33333,                0.28495,                0.07012,                  2.693,                 2.9343,                 3.1701,             0.00028291,             0.00028291,             0.00028291
                     86,                0.88773,                 1.0793,                 1.1057,                0.36858,                0.33333,                0.28495,                0.07012,                  2.693,                 2.9343,                 3.1701,             0.00026945,             0.00026945,             0.00026945
                     87,                 1.0664,                 1.0277,                 1.1966,                0.36858,                0.33333,                0.28495,                0.07012,                  2.693,                 2.9343,                 3.1701,             0.00025559,             0.00025559,             0.00025559
                     88,                0.91822,                 1.0009,                 1.1214,                 0.3736,                0.33333,                0.26696,                 0.0711,                 2.6917,                 2.8103,                 3.1976,             0.00024134,             0.00024134,             0.00024134
                     89,                0.93414,                0.99858,                 1.1514,                 0.3736,                0.33333,                0.26696,                 0.0711,                 2.6917,                 2.8103,                 3.1976,             0.00022669,             0.00022669,             0.00022669
                     90,                0.88689,                0.93584,                 1.1066,                 0.3736,                0.33333,                0.26696,                 0.0711,                 2.6917,                 2.8103,                 3.1976,             0.00021164,             0.00021164,             0.00021164
                     91,                0.83759,                  1.043,                 1.0429,                 0.3736,                0.33333,                0.26696,                 0.0711,                 2.6917,                 2.8103,                 3.1976,              0.0001962,              0.0001962,              0.0001962
                     92,                 0.8674,                 1.0438,                 1.1152,                0.55022,                0.33333,                0.31418,                0.09364,                 2.6568,                 2.7517,                 3.1394,             0.00018036,             0.00018036,             0.00018036
                     93,                0.85734,                 1.0776,                 1.0711,                0.55022,                0.33333,                0.31418,                0.09364,                 2.6568,                 2.7517,                 3.1394,             0.00016413,             0.00016413,             0.00016413
                     94,                0.85322,                 1.0815,                 1.0714,                0.55022,                0.33333,                0.31418,                0.09364,                 2.6568,                 2.7517,                 3.1394,              0.0001475,              0.0001475,              0.0001475
                     95,                0.83906,                 1.0787,                 1.0356,                0.55022,                0.33333,                0.31418,                0.09364,                 2.6568,                 2.7517,                 3.1394,             0.00013047,             0.00013047,             0.00013047
                     96,                0.87151,                 1.0721,                  1.074,                0.59667,                0.33333,                0.32109,                 0.1011,                 2.5917,                 2.7175,                 3.0575,             0.00011305,             0.00011305,             0.00011305
                     97,                0.78457,                 1.0571,                 1.0622,                0.59667,                0.33333,                0.32109,                 0.1011,                 2.5917,                 2.7175,                 3.0575,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.91316,                 1.0894,                 1.0742,                0.59667,                0.33333,                0.32109,                 0.1011,                 2.5917,                 2.7175,                 3.0575,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.75112,                0.94147,                 1.0021,                0.59667,                0.33333,                0.32109,                 0.1011,                 2.5917,                 2.7175,                 3.0575,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.80107,                 1.0022,                 1.0634,                0.60344,                0.33333,                0.35243,                0.10699,                 2.5065,                 2.7556,                 3.0682,             3.9402e-05,             3.9402e-05,             3.9402e-05
